#portID	slaveID	chipID	channelID	vth_t1	vth_t2	vth_e
0	0	1	0	20	20	15
0	0	1	1	20	20	15
0	0	1	2	20	20	15
0	0	1	3	20	20	15
0	0	1	4	20	20	15
0	0	1	5	20	20	15
0	0	1	6	20	20	15
0	0	1	7	20	20	15
0	0	1	8	20	20	15
0	0	1	9	20	20	15
0	0	1	10	20	20	15
0	0	1	11	20	20	15
0	0	1	12	20	20	15
0	0	1	13	20	20	15
0	0	1	14	20	20	15
0	0	1	15	20	20	15
0	0	1	16	20	20	15
0	0	1	17	20	20	15
0	0	1	18	20	20	15
0	0	1	19	20	20	15
0	0	1	20	20	20	15
0	0	1	21	20	20	15
0	0	1	22	20	20	15
0	0	1	23	20	20	15
0	0	1	24	20	20	15
0	0	1	25	20	20	15
0	0	1	26	20	20	15
0	0	1	27	20	20	15
0	0	1	28	20	20	15
0	0	1	29	20	20	15
0	0	1	30	20	20	15
0	0	1	31	20	20	15
0	0	1	32	20	20	15
0	0	1	33	20	20	15
0	0	1	34	20	20	15
0	0	1	35	20	20	15
0	0	1	36	20	20	15
0	0	1	37	20	20	15
0	0	1	38	20	20	15
0	0	1	39	20	20	15
0	0	1	40	20	20	15
0	0	1	41	20	20	15
0	0	1	42	20	20	15
0	0	1	43	20	20	15
0	0	1	44	20	20	15
0	0	1	45	20	20	15
0	0	1	46	20	20	15
0	0	1	47	20	20	15
0	0	1	48	20	20	15
0	0	1	49	20	20	15
0	0	1	50	20	20	15
0	0	1	51	20	20	15
0	0	1	52	20	20	15
0	0	1	53	20	20	15
0	0	1	54	20	20	15
0	0	1	55	20	20	15
0	0	1	56	20	20	15
0	0	1	57	20	20	15
0	0	1	58	20	20	15
0	0	1	59	20	20	15
0	0	1	60	20	20	15
0	0	1	61	20	20	15
0	0	1	62	20	20	15
0	0	1	63	20	20	15
0	0	5	0	20	20	15
0	0	5	1	20	20	15
0	0	5	2	20	20	15
0	0	5	3	20	20	15
0	0	5	4	20	20	15
0	0	5	5	20	20	15
0	0	5	6	20	20	15
0	0	5	7	20	20	15
0	0	5	8	20	20	15
0	0	5	9	20	20	15
0	0	5	10	20	20	15
0	0	5	11	20	20	15
0	0	5	12	20	20	15
0	0	5	13	20	20	15
0	0	5	14	20	20	15
0	0	5	15	20	20	15
0	0	5	16	20	20	15
0	0	5	17	20	20	15
0	0	5	18	20	20	15
0	0	5	19	20	20	15
0	0	5	20	20	20	15
0	0	5	21	20	20	15
0	0	5	22	20	20	15
0	0	5	23	20	20	15
0	0	5	24	20	20	15
0	0	5	25	20	20	15
0	0	5	26	20	20	15
0	0	5	27	20	20	15
0	0	5	28	20	20	15
0	0	5	29	20	20	15
0	0	5	30	20	20	15
0	0	5	31	20	20	15
0	0	5	32	20	20	15
0	0	5	33	20	20	15
0	0	5	34	20	20	15
0	0	5	35	20	20	15
0	0	5	36	20	20	15
0	0	5	37	20	20	15
0	0	5	38	20	20	15
0	0	5	39	20	20	15
0	0	5	40	20	20	15
0	0	5	41	20	20	15
0	0	5	42	20	20	15
0	0	5	43	20	20	15
0	0	5	44	20	20	15
0	0	5	45	20	20	15
0	0	5	46	20	20	15
0	0	5	47	20	20	15
0	0	5	48	20	20	15
0	0	5	49	20	20	15
0	0	5	50	20	20	15
0	0	5	51	20	20	15
0	0	5	52	20	20	15
0	0	5	53	20	20	15
0	0	5	54	20	20	15
0	0	5	55	20	20	15
0	0	5	56	20	20	15
0	0	5	57	20	20	15
0	0	5	58	20	20	15
0	0	5	59	20	20	15
0	0	5	60	20	20	15
0	0	5	61	20	20	15
0	0	5	62	20	20	15
0	0	5	63	20	20	15
